epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,728.605,0.19632,3.34937,0.99726,0.33957,0.40236,0.3072,0.30629,0.16766,2.67741,0.18184,0.000132987,0.000132987,0.000132987
2,1361.89,0.09998,2.38472,0.92982,0.46381,0.75002,0.63993,0.62982,0.21426,1.88687,0.22801,0.000239955,0.000239955,0.000239955
3,1940.19,0.08972,1.88523,0.92603,0.59751,0.75252,0.76924,0.7692,0.17919,1.62368,0.21192,0.000320522,0.000320522,0.000320522
4,2497.31,0.08102,1.54084,0.91987,0.73034,0.78981,0.85475,0.85297,0.178,1.28881,0.20442,0.0002812,0.0002812,0.0002812
5,2990.9,0.07253,1.3211,0.91476,0.80481,0.82738,0.87568,0.87561,0.14797,1.21042,0.1727,0.0002416,0.0002416,0.0002416
6,3462.39,0.06593,1.11525,0.91191,0.84917,0.85871,0.91076,0.91072,0.18182,1.11827,0.18419,0.000202,0.000202,0.000202
7,3931.91,0.06137,0.96235,0.90772,0.8699,0.89836,0.9233,0.92178,0.17417,0.87466,0.18226,0.0001624,0.0001624,0.0001624
8,4419.19,0.05283,0.86395,0.9099,0.89677,0.91544,0.92058,0.91836,0.15399,0.81397,0.16381,0.0001228,0.0001228,0.0001228
9,4898.15,0.04722,0.76837,0.91133,0.84193,0.91901,0.91904,0.91845,0.13358,0.75789,0.15244,8.32e-05,8.32e-05,8.32e-05
10,5381.16,0.04321,0.67577,0.90248,0.86386,0.91811,0.92539,0.92469,0.13349,0.73657,0.15216,4.36e-05,4.36e-05,4.36e-05
